geo,map
http://www.wikidata.org/entity/Q18661570,http://commons.wikimedia.org/data/main/Data:Rky/5082_Raahen_seminaari.map
http://www.wikidata.org/entity/Q20065025,http://commons.wikimedia.org/data/main/Data:Taronga+Zoo+ferry+wharf.map
http://www.wikidata.org/entity/Q22924937,http://commons.wikimedia.org/data/main/Data:Ramparts+of+Dinan.map
http://www.wikidata.org/entity/Q29974196,http://commons.wikimedia.org/data/main/Data:Rky/1889_M%C3%A4nt%C3%A4n_tehtaat_ja_yhdyskunta.map
http://www.wikidata.org/entity/Q29974186,http://commons.wikimedia.org/data/main/Data:Rky/4658_Vantaanjokisuun_vesi-_ja_viem%C3%A4rilaitokset.map
http://www.wikidata.org/entity/Q30535413,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis196.map
http://www.wikidata.org/entity/Q3349,http://commons.wikimedia.org/data/main/Data:France/Departement/22.map
http://www.wikidata.org/entity/Q161094,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Chomutov.map
http://www.wikidata.org/entity/Q240419,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Rychnov+nad+Kn%C4%9B%C5%BEnou.map
http://www.wikidata.org/entity/Q338296,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Rakovn%C3%ADk.map
http://www.wikidata.org/entity/Q517427,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Nov%C3%BD+Ji%C4%8D%C3%ADn.map
http://www.wikidata.org/entity/Q605208,http://commons.wikimedia.org/data/main/Data:Czech+Republic/%C4%8Cesk%C3%BD+Krumlov.map
http://www.wikidata.org/entity/Q663532,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Semily.map
http://www.wikidata.org/entity/Q850531,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Brno-m%C4%9Bsto.map
http://www.wikidata.org/entity/Q838333,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Ji%C4%8D%C3%ADn.map
http://www.wikidata.org/entity/Q852472,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Jihlava.map
http://www.wikidata.org/entity/Q838301,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Pardubice.map
http://www.wikidata.org/entity/Q838338,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Tachov.map
http://www.wikidata.org/entity/Q979843,http://commons.wikimedia.org/data/main/Data:T1+North+Shore,+Northern+%26+Western+Line.map
http://www.wikidata.org/entity/Q1008563,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis100.map
http://www.wikidata.org/entity/Q1008742,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis102.map
http://www.wikidata.org/entity/Q1008408,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis105.map
http://www.wikidata.org/entity/Q1008320,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis110.map
http://www.wikidata.org/entity/Q1008683,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis111.map
http://www.wikidata.org/entity/Q1008101,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis115.map
http://www.wikidata.org/entity/Q1008700,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis130.map
